Year,Country,Image url,Region code,Region,Overall Rank,Happiness Score,Happiness Status,GDP per capita,Family,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
2016,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,2,AFRICA,145,3.739,Green,0.31995,0.63054,0.21297,0.3337,0.24353,0.12533
2017,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,2,AFRICA,134,4.032,Green,0.350228,1.04328,0.215844,0.324368,0.250865,0.120328
2018,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,2,AFRICA,120,4.424,Green,0.314,1.097,0.254,0.312,0.175,0.128
2019,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,2,AFRICA,115,4.587,Green,0.331,1.056,0.38,0.255,0.177,0.113
2015,Burundi,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,2,AFRICA,157,2.905,Green,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062
2016,Burundi,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,2,AFRICA,157,2.905,Green,0.06831,0.23442,0.15747,0.0432,0.2029,0.09419
2017,Burundi,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,2,AFRICA,154,2.905,Green,0.0916226,0.629794,0.151611,0.0599008,0.204435,0.0841479
2018,Burundi,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,2,AFRICA,155,2.905,Green,0.091,0.627,0.145,0.065,0.149,0.076
2019,Burundi,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,2,AFRICA,145,3.775,Green,0.046,0.447,0.38,0.22,0.176,0.18
2015,Cambodia,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,142,ASIA,145,3.819,Green,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247
2016,Cambodia,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,142,ASIA,140,3.907,Green,0.55604,0.5375,0.42494,0.58852,0.40339,0.08092
2017,Cambodia,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,142,ASIA,129,4.168,Green,0.601765,1.00624,0.429783,0.633376,0.385923,0.068106
2018,Cambodia,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,142,ASIA,119,4.433,Green,0.549,1.088,0.457,0.696,0.256,0.065
2019,Cambodia,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,142,ASIA,109,4.7,Green,0.574,1.122,0.637,0.609,0.232,0.062
2015,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,2,AFRICA,133,4.252,Green,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786
2016,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,2,AFRICA,114,4.513,Green,0.52497,0.62542,0.12698,0.42736,0.2268,0.06126
2017,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,2,AFRICA,107,4.695,Green,0.564305,0.946018,0.132892,0.430389,0.236298,0.0513066
2018,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,2,AFRICA,98,4.975,Green,0.535,0.891,0.182,0.454,0.183,0.043
2019,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,2,AFRICA,96,5.044,Green,0.549,0.91,0.331,0.381,0.187,0.037
2015,Canada,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,19,AMERICAS,5,7.427,Green,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957
2016,Canada,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,19,AMERICAS,6,7.404,Green,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329
2017,Canada,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,19,AMERICAS,7,7.316,Green,1.4792,1.48135,0.834558,0.611101,0.43554,0.287372
2018,Canada,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,19,AMERICAS,7,7.328,Green,1.33,1.532,0.896,0.653,0.321,0.291
2019,Canada,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,19,AMERICAS,9,7.278,Green,1.365,1.505,1.039,0.584,0.285,0.308
2015,Central African Republic,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,2,AFRICA,148,3.678,Green,0.0785,0.0,0.06699,0.48879,0.23835,0.08289
2017,Central African Republic,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,2,AFRICA,155,2.693,Green,0.0,0.0,0.0187727,0.270842,0.280876,0.0565651
2018,Central African Republic,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,2,AFRICA,154,3.083,Green,0.024,0.0,0.01,0.305,0.218,0.038
2019,Central African Republic,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,2,AFRICA,155,3.083,Green,0.026,0.0,0.105,0.225,0.235,0.035
2015,Chad,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,2,AFRICA,149,3.667,Green,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269
2016,Chad,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,2,AFRICA,144,3.763,Green,0.42214,0.63178,0.03824,0.12807,0.18667,0.04952
2017,Chad,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,2,AFRICA,137,3.936,Green,0.438013,0.953856,0.0411347,0.162342,0.216114,0.0535819
2018,Chad,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,2,AFRICA,130,4.301,Green,0.358,0.907,0.053,0.189,0.181,0.06
2019,Chad,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,2,AFRICA,132,4.35,Green,0.35,0.766,0.192,0.174,0.198,0.078
2015,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,19,AMERICAS,27,6.67,Green,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869
2016,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,19,AMERICAS,24,6.705,Green,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451
2017,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,19,AMERICAS,20,6.652,Green,1.25278,1.28402,0.81948,0.376895,0.326662,0.082288
2018,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,19,AMERICAS,24,6.476,Green,1.131,1.331,0.808,0.431,0.197,0.061
2019,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,19,AMERICAS,26,6.444,Green,1.159,1.369,0.92,0.357,0.187,0.056
